ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.09.06,1,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
2,2024.09.06,2,EPBot1,EPBot3,EPBot2,EPBot4,"7S N =",2210,0.00%,"7N NS",2220,0,"We missed best contract",-
3,2024.09.06,3,EPBot1,EPBot3,EPBot2,EPBot4,"6H S =",980,0.00%,"6N S",990,0,"We missed best contract",-
4,2024.09.06,4,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",620,0.00%,"4H NS",620,0,"Par was bid",-
5,2024.09.06,5,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +3",710,0.00%,"7N NS",2220,-17,"We missed grand slam",-
6,2024.09.06,6,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
7,2024.09.06,7,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"3S NS",140,0,"Par was bid",-
8,2024.09.06,8,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4SX EW-2",300,3,"They missed sacrifice",-
9,2024.09.06,9,EPBot1,EPBot3,EPBot2,EPBot4,"5S N +1",480,0.00%,"6N NS",990,-11,"We missed small slam",-
10,2024.09.06,10,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
11,2024.09.06,11,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +2",480,0.00%,"6H NS",980,-11,"We missed small slam",-
12,2024.09.06,12,EPBot1,EPBot3,EPBot2,EPBot4,"5H N =",650,0.00%,"4H NS+1",650,0,"Par was bid",-
13,2024.09.06,13,EPBot1,EPBot3,EPBot2,EPBot4,"6H S =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
14,2024.09.06,14,EPBot1,EPBot3,EPBot2,EPBot4,"3H N -1",-50,0.00%,"3S E",-140,3,"They missed partial",-
15,2024.09.06,15,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4H NS",620,0,"Par was bid",-
16,2024.09.06,16,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
17,2024.09.06,17,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
18,2024.09.06,18,EPBot1,EPBot3,EPBot2,EPBot4,"5HX S -2",-500,0.00%,"4S EW",-420,-2,"We overbid - doubled",-
19,2024.09.06,19,EPBot1,EPBot3,EPBot2,EPBot4,"3H N +1",170,0.00%,"4H NS",420,-6,"We missed game",-
20,2024.09.06,20,EPBot1,EPBot3,EPBot2,EPBot4,"6H N =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
21,2024.09.06,21,EPBot1,EPBot3,EPBot2,EPBot4,"3N S +1",630,0.00%,"4S NS+1",650,-1,"We missed best contract",-
22,2024.09.06,22,EPBot1,EPBot3,EPBot2,EPBot4,"5C E +1",-620,0.00%,"7HX NS-5",-1100,10,"They missed small slam",-
23,2024.09.06,23,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -1",-100,0.00%,"2N EW",-120,1,"They missed double",-
24,2024.09.06,24,EPBot1,EPBot3,EPBot2,EPBot4,"4S S +1",450,0.00%,"3N N+2",460,0,"We missed best contract",-
25,2024.09.06,25,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",450,0.00%,"4S NS+1",450,0,"Par was bid",-
26,2024.09.06,26,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",620,0.00%,"4H NS",620,0,"Par was bid",-
27,2024.09.06,27,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"5SX NS-2",-300,10,"They missed game",-
28,2024.09.06,28,EPBot1,EPBot3,EPBot2,EPBot4,"3S N -1",-100,0.00%,"3C EW+1",-130,1,"They missed double",-
29,2024.09.06,29,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -1",-100,0.00%,"3N NS",600,-12,"We overbid - undoubled",-
30,2024.09.06,30,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
31,2024.09.06,31,EPBot1,EPBot3,EPBot2,EPBot4,"4S S +1",650,0.00%,"3N NS+2",660,0,"We missed best contract",-
32,2024.09.06,32,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
33,2024.09.06,33,EPBot1,EPBot3,EPBot2,EPBot4,"6S N +1",1010,0.00%,"7N NS",1520,-11,"We missed grand slam",-
34,2024.09.06,34,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",650,0.00%,"3N NS+2",660,0,"We missed best contract",-
35,2024.09.06,35,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -1",-50,0.00%,"3N NS",400,-10,"We overbid - undoubled",-
36,2024.09.06,36,EPBot1,EPBot3,EPBot2,EPBot4,"4S S +1",650,0.00%,"4S NS+1",650,0,"Par was bid",-
37,2024.09.06,37,EPBot1,EPBot3,EPBot2,EPBot4,"5H S =",650,0.00%,"4H NS+1",650,0,"Par was bid",-
38,2024.09.06,38,EPBot1,EPBot3,EPBot2,EPBot4,"5H N +1",480,0.00%,"6N NS",990,-11,"We missed small slam",-
39,2024.09.06,39,EPBot1,EPBot3,EPBot2,EPBot4,"3S N -1",-100,0.00%,"3H E",-140,1,"They missed double",-
40,2024.09.06,40,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",420,0.00%,"3N NS+1",430,0,"We missed best contract",-
41,2024.09.06,41,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4S NS",420,0,"Par was bid",-
42,2024.09.06,42,EPBot1,EPBot3,EPBot2,EPBot4,"5S N =",650,0.00%,"4S NS+1",650,0,"Par was bid",-
43,2024.09.06,43,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -2",-100,0.00%,"3SX NS-1",-100,0,"They missed double",-
